KJ939976.1_1,KJ939976.1_1 Catharanthus roseus length=552 (+ strand),reference
KJ939983.1_2,"KJ939983.1_2 'Brassica napus' phytoplasma isolate TM1741_F12_Brassica-root chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",reference
KJ939984.1_3,"KJ939984.1_3 'Brassica napus' phytoplasma isolate canola chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",reference
KJ939985.1_4,"KJ939985.1_4 'Brassica napus' phytoplasma isolate TM1524_G05_canola-96_2 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",reference
KJ939986.1_5,"KJ939986.1_5 'Brassica napus' phytoplasma isolate TM1524_F11_canola-9_1 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",reference
KJ939987.1_6,"KJ939987.1_6 'Daucus carota' phytoplasma isolate TM1741_G04_carrot chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",reference
KJ939988.1_7,"KJ939988.1_7 'Daucus carota' phytoplasma isolate TM1311_C11_carrgroEL-4 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",reference
KJ939990.1_8,"KJ939990.1_8 'Vinca sp.' phytoplasma isolate JB0071_B02_CFIA1-1 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",reference
KJ939991.1_9,"KJ939991.1_9 'Catharanthus roseus' phytoplasma isolate JB0071_B08_CFIA4-1 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",reference
KJ939992.1_10,"KJ939992.1_10 Candidatus Phytoplasma ulmi isolate JB0071_C04_CFIA7-2 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",reference
KJ939994.1_11,"KJ939994.1_11 'Catharanthus roseus' phytoplasma isolate BP0265_G06_COL chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",reference
KJ939995.1_12,"KJ939995.1_12 'Catharanthus roseus' phytoplasma isolate BP0265_G12_CVB chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",reference
KJ939996.1_13,"KJ939996.1_13 'Catharanthus roseus' phytoplasma isolate BP0265_G08_GY chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",reference
KJ939997.1_14,"KJ939997.1_14 'Allium cepa' phytoplasma isolate AY chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",reference
KJ939998.1_15,"KJ939998.1_15 'Allium cepa' phytoplasma isolate TM1311_C01_O2lfgroEL-2 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",reference
