Sequence ID,Description,Query ID,Target ID,Coverage,Percent Identity,Length,Mismatch,Gap Open,Query Start,Query End,Target Start,Target End,Strandedness,E-Value,Bit Score,Classification
KJ940006.1_18,"KJ940006.1_18 Candidatus Phytoplasma solani isolate BP0093_C03_Phyto5-1 chaperonin-60 (cpn60) gene, partial cds",KJ940006.1_18,b27168 KJ939979 Candidatus Phytoplasma solani Bois noir phytoplasma BN44948,100,99.819,552,1,0,1,552,1,552,plus,0.0,991,Phytoplasma sequence (+ strand)
KJ940017.1_26,"KJ940017.1_26 'Thlaspi arvense' phytoplasma isolate TM1760_E11_SWR1-H280P chaperonin-60 (cpn60) gene, partial cds",KJ940017.1_26,b27105 KJ940013 Candidatus Phytoplasma asteris Linum usitatissimum phytoplasma SF1,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ940016.1_25,"KJ940016.1_25 'Linum usitatissimum' phytoplasma isolate SF-4_UT chaperonin-60 (cpn60) gene, partial cds",KJ940016.1_25,b27105 KJ940013 Candidatus Phytoplasma asteris Linum usitatissimum phytoplasma SF1,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ939986.1_5,"KJ939986.1_5 'Brassica napus' phytoplasma isolate TM1524_F11_canola-9_1 chaperonin-60 (cpn60) gene, partial cds",KJ939986.1_5,b27096 KJ939998 Candidatus Phytoplasma asteris Allium cepa phytoplasma O2L,100,99.819,552,1,0,1,552,1,552,plus,0.0,991,Phytoplasma sequence (+ strand)
KJ940009.1_19,"KJ940009.1_19 'Ligustrum sinense' phytoplasma isolate TM1756_A02_privet-3 chaperonin-60 (cpn60) gene, partial cds",KJ940009.1_19,b27096 KJ939998 Candidatus Phytoplasma asteris Allium cepa phytoplasma O2L,100,99.457,552,3,0,1,552,1,552,plus,0.0,982,Phytoplasma sequence (+ strand)
KJ939983.1_2,"KJ939983.1_2 'Brassica napus' phytoplasma isolate TM1741_F12_Brassica-root chaperonin-60 (cpn60) gene, partial cds",KJ939983.1_2,b27096 KJ939998 Candidatus Phytoplasma asteris Allium cepa phytoplasma O2L,100,99.819,552,1,0,1,552,1,552,plus,0.0,991,Phytoplasma sequence (+ strand)
KJ939992.1_10,"KJ939992.1_10 Candidatus Phytoplasma ulmi isolate JB0071_C04_CFIA7-2 chaperonin-60 (cpn60) gene, partial cds",KJ939992.1_10,b27155 KJ939990 Candidatus Phytoplasma sp. rubi Rubus stunt phytoplasma RS,100,98.188,552,10,0,1,552,1,552,plus,0.0,951,Phytoplasma sequence (+ strand)
KJ939991.1_9,"KJ939991.1_9 'Catharanthus roseus' phytoplasma isolate JB0071_B08_CFIA4-1 chaperonin-60 (cpn60) gene, partial cds",KJ939991.1_9,b27155 KJ939990 Candidatus Phytoplasma sp. rubi Rubus stunt phytoplasma RS,100,98.551,552,8,0,1,552,1,552,plus,0.0,960,Phytoplasma sequence (+ strand)
KJ939999.1_16,"KJ939999.1_16 'Allium cepa' phytoplasma isolate TM1311_C05_O2lfMBgroEL-3 chaperonin-60 (cpn60) gene, partial cds",KJ939999.1_16,b27096 KJ939998 Candidatus Phytoplasma asteris Allium cepa phytoplasma O2L,100,99.819,552,1,0,1,552,1,552,plus,0.0,991,Phytoplasma sequence (+ strand)
KJ939987.1_6,"KJ939987.1_6 'Daucus carota' phytoplasma isolate TM1741_G04_carrot chaperonin-60 (cpn60) gene, partial cds",KJ939987.1_6,b27105 KJ940013 Candidatus Phytoplasma asteris Linum usitatissimum phytoplasma SF1,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ940011.1_20,"KJ940011.1_20 'Brassica napobrassica' phytoplasma isolate TM1741_G02_rutabega chaperonin-60 (cpn60) gene, partial cds",KJ940011.1_20,b27096 KJ939998 Candidatus Phytoplasma asteris Allium cepa phytoplasma O2L,100,99.819,552,1,0,1,552,1,552,plus,0.0,991,Phytoplasma sequence (+ strand)
