Sequence ID,Description,Query ID,Target ID,Coverage,Percent Identity,Length,Mismatch,Gap Open,Query Start,Query End,Target Start,Target End,Strandedness,E-Value,Bit Score,Classification
PFFEJNAA_00288_288,PFFEJNAA_00288_288 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00347_347,PFFEJNAA_00347_347 30S ribosomal protein S6,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00177_177,PFFEJNAA_00177_177 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00433_433,PFFEJNAA_00433_433 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00517_517,PFFEJNAA_00517_517 Putative pre-16S rRNA nuclease,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00488_488,PFFEJNAA_00488_488 DegV domain-containing protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00693_693,PFFEJNAA_00693_693 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00241_241,PFFEJNAA_00241_241 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00217_217,PFFEJNAA_00217_217 Xaa-Pro aminopeptidase,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00124_124,PFFEJNAA_00124_124 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00346_346,PFFEJNAA_00346_346 Single-stranded DNA-binding protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00318_318,PFFEJNAA_00318_318 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00213_213,PFFEJNAA_00213_213 Glycerol-3-phosphate dehydrogenase [NAD(P)+],N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00385_385,PFFEJNAA_00385_385 tRNA-Tyr(gta),N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00042_42,PFFEJNAA_00042_42 50S ribosomal protein L10,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00019_19,PFFEJNAA_00019_19 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00335_335,PFFEJNAA_00335_335 Ribonucleoside-diphosphate reductase subunit alpha,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
